년월,출발지코드,도착지코드,종합 유입인구
202003,경기도외,시흥시,5.859999999999999
202003,경기도외,군포시,2.46
202003,경기도외,의왕시,1.26
202003,경기도외,하남시,3.76
202003,경기도외,용인시,14.379999999999999
202003,경기도외,파주시,4.43
202003,경기도외,이천시,5.99
202003,경기도외,안성시,5.98
202003,경기도외,김포시,11.979999999999999
202003,경기도외,화성시,19.790000000000003
202003,경기도외,광주시,3.2
202003,경기도외,양주시,2.33
202003,경기도외,포천시,3.61
202003,경기도외,여주시,5.18
202003,경기도외,연천군,0.2
202003,경기도외,가평군,0.88
202003,경기도외,양평군,1.17
202003,경기도외,수원시,6.220000000000001
202003,경기도외,성남시,17.72
202003,경기도외,의정부시,3.75
202003,경기도외,안양시,7.0200000000000005
202003,경기도외,부천시,2.0900000000000003
202003,경기도외,광명시,2.02
202003,경기도외,평택시,7.85
202003,경기도외,동두천시,1.6199999999999999
202003,경기도외,안산시,4.260000000000001
202003,경기도외,고양시,3.83
202003,경기도외,과천시,0.06
202003,경기도외,구리시,0.89
202003,경기도외,남양주시,2.91
202003,경기도외,오산시,1.77
202003,경기도외,시흥시,7.260000000000001
202003,경기도외,군포시,1.19
202003,경기도외,의왕시,2.55
202003,경기도외,하남시,1.8
202003,경기도외,용인시,10.74
202003,경기도외,파주시,2.63
202003,경기도외,이천시,4.42
202003,경기도외,안성시,4.589999999999999
202003,경기도외,김포시,2.25
202003,경기도외,화성시,4.44
202003,경기도외,광주시,6.06
202003,경기도외,양주시,1.9600000000000002
202003,경기도외,포천시,3.96
202003,경기도외,여주시,1.2100000000000002
202003,경기도외,연천군,1.79
202003,경기도외,가평군,1.7000000000000002
202003,경기도외,양평군,2.2199999999999998
202003,경기도외,수원시,8.66
202003,경기도외,성남시,11.730000000000002
202003,경기도외,의정부시,1.35
202003,경기도외,안양시,1.87
202003,경기도외,부천시,8.4
202003,경기도외,광명시,1.1600000000000001
202003,경기도외,평택시,11.03
202003,경기도외,동두천시,1.21
202003,경기도외,안산시,6.15
202003,경기도외,고양시,11.42
202003,경기도외,과천시,0.6
202003,경기도외,구리시,4.1
202003,경기도외,남양주시,9.92
202003,경기도외,오산시,2.04
202003,경기도외,시흥시,7.71
202003,경기도외,군포시,2.87
202003,경기도외,의왕시,2.34
202003,경기도외,하남시,5.3500000000000005
202003,경기도외,용인시,11.77
202003,경기도외,파주시,6.2299999999999995
202003,경기도외,이천시,11.06
202003,경기도외,안성시,8.48
202003,경기도외,김포시,6.6499999999999995
202003,경기도외,화성시,14.599999999999998
202003,경기도외,광주시,5.7
202003,경기도외,양주시,2.36
202003,경기도외,포천시,3.78
202003,경기도외,여주시,6.939999999999999
202003,경기도외,연천군,0.48
202003,경기도외,가평군,0.29
202003,경기도외,양평군,1.4000000000000001
202003,경기도외,수원시,63.02
202003,경기도외,성남시,30.079999999999995
202003,경기도외,의정부시,13.499999999999998
202003,경기도외,안양시,17.26
202003,경기도외,부천시,37.78999999999999
202003,경기도외,광명시,12.6
202003,경기도외,평택시,85.28
202003,경기도외,동두천시,1.97
202003,경기도외,안산시,37.09
202003,경기도외,고양시,32.93
202003,경기도외,과천시,0.69
202003,경기도외,구리시,4.199999999999999
202003,경기도외,남양주시,30.339999999999996
202003,경기도외,오산시,19.58
202003,경기도외,시흥시,28.77
202003,경기도외,군포시,20.44
202003,경기도외,의왕시,15.489999999999998
202003,경기도외,하남시,12.23
202003,경기도외,용인시,65.92000000000002
202003,경기도외,파주시,37.03
202003,경기도외,이천시,60.050000000000004
202003,경기도외,안성시,36.88
202003,경기도외,김포시,19.87
202003,경기도외,화성시,103.42999999999999
202003,경기도외,광주시,25.150000000000002
202003,경기도외,양주시,17.580000000000002
202003,경기도외,포천시,23.400000000000002
202003,경기도외,여주시,25.750000000000004
202003,경기도외,연천군,7.489999999999999
202003,경기도외,가평군,8.4
202003,경기도외,양평군,7.409999999999999
202003,경기도외,수원시,27.760000000000005
202003,경기도외,성남시,14.389999999999999
202003,경기도외,의정부시,7.919999999999999
202003,경기도외,안양시,9.55
202003,경기도외,부천시,15.35
202003,경기도외,광명시,8.31
202003,경기도외,평택시,15.850000000000001
202003,경기도외,동두천시,0.71
202003,경기도외,안산시,13.219999999999999
202003,경기도외,고양시,17.91
202003,경기도외,과천시,0.6100000000000001
202003,경기도외,구리시,6.81
202003,경기도외,남양주시,16.909999999999997
202003,경기도외,오산시,8.84
202003,경기도외,시흥시,8.100000000000001
202003,경기도외,군포시,9.22
202003,경기도외,의왕시,1.2000000000000002
202003,경기도외,하남시,6.159999999999999
202003,경기도외,용인시,40.71
202003,경기도외,파주시,8.11
202003,경기도외,이천시,10.869999999999997
202003,경기도외,연천군,18.79
202003,경기도외,가평군,13.72
202003,경기도외,양평군,19.820000000000004
202003,경기도외,수원시,26.259999999999998
202003,경기도외,성남시,25.0
202003,경기도외,의정부시,7.940000000000001
202003,경기도외,안양시,16.46
202003,경기도외,부천시,13.690000000000001
202003,경기도외,광명시,8.040000000000001
202003,경기도외,평택시,19.0
202003,경기도외,동두천시,0.91
202003,경기도외,안산시,12.28
202003,경기도외,고양시,22.020000000000003
202003,경기도외,과천시,3.0600000000000005
202003,경기도외,구리시,5.65
202003,경기도외,남양주시,15.719999999999999
202003,경기도외,오산시,6.96
202003,경기도외,시흥시,12.79
202003,경기도외,군포시,5.810000000000001
202003,경기도외,의왕시,6.9399999999999995
202003,경기도외,하남시,6.559999999999999
202003,경기도외,용인시,38.870000000000005
202003,경기도외,파주시,7.01
202003,경기도외,이천시,13.809999999999999
202003,경기도외,안성시,13.469999999999999
202003,경기도외,김포시,10.360000000000001
202003,경기도외,화성시,30.87
202003,경기도외,광주시,17.75
202003,경기도외,양주시,5.55
202003,경기도외,포천시,6.41
202003,경기도외,여주시,13.92
202003,경기도외,연천군,0.6499999999999999
202003,경기도외,가평군,4.11
202003,경기도외,양평군,3.45
202003,경기도외,수원시,96.73
202003,경기도외,성남시,59.18
202003,경기도외,의정부시,23.470000000000002
202003,경기도외,안양시,28.430000000000003
202003,경기도외,부천시,26.14
202003,경기도외,광명시,15.59
202003,경기도외,평택시,77.32000000000001
202003,경기도외,동두천시,6.7700000000000005
202003,경기도외,안산시,38.9
202003,경기도외,고양시,59.01
202003,경기도외,과천시,5.1499999999999995
202003,경기도외,구리시,13.99
202003,경기도외,남양주시,32.69
202003,경기도외,오산시,22.11
202003,경기도외,시흥시,25.77
202003,경기도외,군포시,14.0
202003,경기도외,의왕시,13.68
202003,경기도외,하남시,11.58
202003,경기도외,용인시,80.13999999999999
202003,경기도외,파주시,25.499999999999996
202003,경기도외,이천시,25.53
202003,경기도외,안성시,25.200000000000006
202003,경기도외,김포시,20.88
202003,경기도외,화성시,56.26
202003,경기도외,광주시,17.849999999999998
202003,경기도외,양주시,15.26
202003,경기도외,포천시,6.360000000000001
202003,경기도외,여주시,15.0
202003,경기도외,연천군,3.11
202003,경기도외,가평군,3.67
202003,경기도외,양평군,10.370000000000001
202003,경기도외,수원시,79.80000000000001
202003,경기도외,성남시,55.80999999999999
202003,경기도외,의정부시,20.1
202003,경기도외,안양시,20.199999999999996
202003,경기도외,부천시,42.349999999999994
202003,경기도외,광명시,16.62
202003,경기도외,평택시,113.64999999999999
202003,경기도외,동두천시,5.03
202003,경기도외,안산시,74.23
202003,경기도외,고양시,67.63999999999999
202003,경기도외,과천시,2.2100000000000004
202003,경기도외,구리시,10.47
202003,경기도외,남양주시,50.35999999999999
202003,경기도외,오산시,26.720000000000002
202003,경기도외,시흥시,51.519999999999996
202003,경기도외,군포시,29.34
202003,경기도외,의왕시,25.169999999999998
202003,경기도외,하남시,23.740000000000002
202003,경기도외,용인시,115.82000000000001
202003,경기도외,파주시,30.110000000000003
202003,경기도외,이천시,77.14999999999998
202003,경기도외,안성시,66.46000000000001
202003,경기도외,김포시,38.18999999999999
202003,경기도외,화성시,164.73999999999998
202003,경기도외,광주시,52.180000000000014
202003,경기도외,양주시,25.990000000000002
202003,경기도외,포천시,26.679999999999993
202003,경기도외,여주시,41.11
202003,경기도외,연천군,5.19
202003,경기도외,가평군,6.5
202003,경기도외,양평군,9.020000000000001
202003,경기도외,수원시,5.969999999999999
202003,경기도외,성남시,3.5600000000000005
202003,경기도외,의정부시,2.26
202003,경기도외,안양시,2.3899999999999997
202003,경기도외,부천시,5.0600000000000005
202003,경기도외,광명시,1.2
202003,경기도외,평택시,12.86
202003,경기도외,동두천시,0.05
202003,경기도외,안산시,10.95
202003,경기도외,고양시,2.59
202003,경기도외,과천시,0.78
202003,경기도외,구리시,1.4500000000000002
202003,경기도외,남양주시,3.5900000000000003
202003,경기도외,오산시,2.43
202003,경기도외,시흥시,1.41
202003,경기도외,군포시,2.94
202003,경기도외,의왕시,0.5
202003,경기도외,하남시,2.01
202003,경기도외,용인시,7.5
202003,경기도외,파주시,0.9099999999999999
202003,경기도외,이천시,2.8400000000000003
202003,경기도외,안성시,3.4
202003,경기도외,김포시,6.78
202003,경기도외,화성시,11.850000000000001
