기준년월,요일구분,출발 시간대,출발지_시군구코드,출발지_시도명,출발지_시군구명,출발지_중심_X좌표,출발지_중심_Y좌표,이동수단 구분,성별,연령별(10세),인구 수
202401,일,22,41463,경기도,용인시 기흥구,966424,1918787,7,M,5,123.05
202401,금,23,41271,경기도,안산시 상록구,944176,1924186,7,M,5,14.13
202401,월,4,41192,경기도,부천시 원미구,936267,1944735,1,M,9,7
202401,화,21,41194,경기도,부천시 소사구,937850,1941972,3,M,4,1779.51
202401,목,3,41271,경기도,안산시 상록구,944176,1924186,7,M,7,49.23
202401,목,16,41461,경기도,용인시 처인구,978070,1911643,0,W,3,3855.05
202401,월,4,41390,경기도,시흥시,935643,1931618,3,W,5,1453.05
202401,금,1,41463,경기도,용인시 기흥구,966424,1918787,1,W,6,33.89
202401,화,15,41115,경기도,수원시 팔달구,957104,1919945,7,W,2,362.6
202401,화,11,41171,경기도,안양시 만안구,947900,1934052,7,M,5,246.25
202401,목,5,41465,경기도,용인시 수지구,962048,1926137,3,W,4,1013.41
202401,수,10,41590,경기도,화성시,942172,1908000,7,M,7,1147.34
202401,수,4,41196,경기도,부천시 오정구,937564,1947819,3,W,10,18.4
202401,토,19,41113,경기도,수원시 권선구,953861,1918083,1,M,5,1823.85
202401,일,14,41210,경기도,광명시,943809,1938625,3,W,8,937.71
202401,월,7,41590,경기도,화성시,942172,1908000,0,M,8,3485.61
202401,금,19,41113,경기도,수원시 권선구,953861,1918083,1,M,2,569.87
202401,수,10,41111,경기도,수원시 장안구,955994,1924011,5,M,3,55.96
202401,수,3,41173,경기도,안양시 동안구,951796,1933620,0,W,4,180.45
202401,금,3,41192,경기도,부천시 원미구,936267,1944735,2,M,7,20.24
202401,금,4,41171,경기도,안양시 만안구,947900,1934052,2,M,6,72.18
202401,일,11,41171,경기도,안양시 만안구,947900,1934052,0,W,8,518.18
202401,토,8,41192,경기도,부천시 원미구,936267,1944735,5,W,7,38.76
202401,수,21,41210,경기도,광명시,943809,1938625,3,M,7,1723.86
202401,금,16,41273,경기도,안산시 단원구,925133,1918594,4,M,3,14.53
202401,월,11,41171,경기도,안양시 만안구,947900,1934052,1,M,7,2012.1
202401,화,21,41194,경기도,부천시 소사구,937850,1941972,1,M,1,21
202401,목,9,41390,경기도,시흥시,935643,1931618,7,M,3,445.7
202401,수,17,41111,경기도,수원시 장안구,955994,1924011,2,W,8,42.61
202401,수,7,41390,경기도,시흥시,935643,1931618,2,W,3,4716.51
202401,금,9,41465,경기도,용인시 수지구,962048,1926137,1,M,7,1575.21
202401,수,16,41271,경기도,안산시 상록구,944176,1924186,3,W,3,2066.68
202401,목,10,41590,경기도,화성시,942172,1908000,4,M,6,2.52
202401,화,19,41210,경기도,광명시,943809,1938625,1,W,2,511.61
202401,화,22,41117,경기도,수원시 영통구,960690,1919671,3,M,9,100.17
202401,일,5,41450,경기도,하남시,974018,1947095,7,M,6,111.29
